"No.","Time","Source","Destination","Protocol","Length","Info"
"1",0.000000000,"192.168.122.1","192.168.122.33","TCP",74,"34650  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1976558985 TSecr=0 WS=128"
"2",0.000249028,"192.168.122.33","192.168.122.1","TCP",74,"443  >  34650 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=3279200250 TSecr=1976558985 WS=128"
"3",0.000281101,"192.168.122.1","192.168.122.33","TCP",66,"34650  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1976558985 TSecr=3279200250"
"4",0.005501188,"192.168.122.1","192.168.122.33","TLSv1.2",583,"Client Hello"
"5",0.005798695,"192.168.122.33","192.168.122.1","TCP",66,"443  >  34650 [ACK] Seq=1 Ack=518 Win=30080 Len=0 TSval=3279200256 TSecr=1976558990"
"6",0.016027374,"192.168.122.33","192.168.122.1","TLSv1.2",1514,"Server Hello"
"7",0.016052308,"192.168.122.1","192.168.122.33","TCP",66,"34650  >  443 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=1976559001 TSecr=3279200266"
"8",0.016063462,"192.168.122.33","192.168.122.1","TLSv1.2",751,"Certificate, Server Key Exchange, Server Hello Done"
"9",0.016072861,"192.168.122.1","192.168.122.33","TCP",66,"34650  >  443 [ACK] Seq=518 Ack=2134 Win=63872 Len=0 TSval=1976559001 TSecr=3279200266"
"10",0.019546905,"192.168.122.1","192.168.122.33","TLSv1.2",224,"Client Key Exchange, Change Cipher Spec, Finished"
"11",0.021448686,"192.168.122.33","192.168.122.1","TLSv1.2",117,"Change Cipher Spec, Finished"
"12",0.021599373,"192.168.122.33","192.168.122.1","HTTP2",135,"SETTINGS[0], WINDOW_UPDATE[0]"
"13",0.021637409,"192.168.122.1","192.168.122.33","HTTP2",119,"Magic"
"14",0.021654300,"192.168.122.1","192.168.122.33","HTTP2",122,"SETTINGS[0]"
"15",0.021663440,"192.168.122.1","192.168.122.33","HTTP2",108,"WINDOW_UPDATE[0]"
"16",0.021694370,"192.168.122.1","192.168.122.33","HTTP2",146,"HEADERS[1]: GET /test.txt"
"17",0.021718451,"192.168.122.1","192.168.122.33","HTTP2",104,"SETTINGS[0]"
"18",0.021886576,"192.168.122.33","192.168.122.1","TCP",66,"443  >  34650 [ACK] Seq=2254 Ack=945 Win=31104 Len=0 TSval=3279200272 TSecr=1976559006"
"19",0.022003986,"192.168.122.33","192.168.122.1","HTTP2",244,"SETTINGS[0], HEADERS[1]: 200 OK"
"20",0.022071606,"192.168.122.33","192.168.122.1","HTTP2",156,"DATA[1] (text/plain)"
"21",0.022184227,"192.168.122.1","192.168.122.33","TCP",66,"34650  >  443 [ACK] Seq=945 Ack=2522 Win=64128 Len=0 TSval=1976559007 TSecr=3279200272"
"22",0.022340819,"192.168.122.1","192.168.122.33","TLSv1.2",97,"Alert (Level: Warning, Description: Close Notify)"
"23",0.022540211,"192.168.122.33","192.168.122.1","TCP",66,"443  >  34650 [FIN, ACK] Seq=2522 Ack=976 Win=31104 Len=0 TSval=3279200272 TSecr=1976559007"
"24",0.022879527,"192.168.122.1","192.168.122.33","TCP",66,"34650  >  443 [FIN, ACK] Seq=976 Ack=2523 Win=64128 Len=0 TSval=1976559007 TSecr=3279200272"
"25",0.023004878,"192.168.122.33","192.168.122.1","TCP",66,"443  >  34650 [ACK] Seq=2523 Ack=977 Win=31104 Len=0 TSval=3279200273 TSecr=1976559007"
